# {'model': 'gpt2', 'layer': 5, 'hook': 'transformer.h[5].mlp.act', 'm': 3072, 'vocab': 50257, 'device': 'cuda'}
neuron	bos_act	exp_wins	imp_r_wins	imp_i_wins	exp_max	imp_max_all	imp_max_last
162	0.061351	0	0	0	0.079166	1.375609	1.375609
163	0.621540	0	0	0	0.660420	1.995125	1.995125
164	-0.068981	0	0	0	-0.063893	1.528939	1.528939
165	-0.038130	0	0	0	-0.035641	2.163887	2.163887
166	0.496843	0	0	0	0.525092	2.543524	2.543524
167	-0.011721	0	0	0	-0.010176	1.883976	1.883976
168	0.281376	0	0	0	0.292925	0.863436	0.863436
169	-0.000825	0	0	0	-0.000648	1.301852	1.301852
170	-0.116567	0	5	5	-0.113932	3.240382	3.240382
171	-0.084533	0	0	0	-0.082093	1.499215	1.499215
172	0.539354	0	0	0	0.568191	1.632446	1.632446
173	-0.153329	0	0	0	-0.151083	1.357607	1.357607
174	0.258307	0	0	0	0.274251	0.940067	0.940067
175	0.363314	0	0	0	0.383332	2.388208	2.388208
176	0.317333	0	0	0	0.339051	0.521333	0.521333
177	0.505244	0	0	0	0.540269	0.803382	0.803382
178	-0.017846	0	0	0	-0.016352	2.147434	2.147434
179	-0.038576	0	0	0	-0.037012	0.659012	0.659012
180	0.564727	0	0	0	0.593615	1.186138	1.186138
181	-0.098652	0	0	0	-0.093664	1.824138	1.824138
182	-0.037213	0	0	0	-0.034298	2.209172	2.209172
183	-0.005225	0	6	6	-0.004419	3.483606	3.483606
184	-0.068394	0	1	2	-0.066177	2.752621	2.752621
185	0.602907	0	0	0	0.638058	1.847102	1.847102
186	-0.014698	0	0	0	-0.013392	1.759751	1.759751
187	0.104403	0	0	0	0.117172	1.119766	1.119766
188	0.201391	0	0	0	0.218692	0.258759	0.258759
189	-0.106295	0	0	0	-0.102298	2.016916	2.016916
190	0.055032	0	0	0	0.065224	0.818589	0.818589
191	0.430830	0	0	0	0.443586	1.528231	1.528231
192	0.217938	0	0	0	0.239383	1.663123	1.663123
193	0.208111	0	0	0	0.236606	1.096125	1.096125
194	-0.063228	0	0	0	-0.058153	1.151738	1.151738
195	-0.007087	0	0	0	-0.006319	0.552853	0.552853
196	-0.113742	0	0	0	-0.111130	0.417946	0.417946
197	-0.047152	0	0	0	-0.043677	1.152671	1.152671
198	0.312694	0	0	0	0.319530	1.200826	1.200826
199	-0.084623	0	0	0	-0.082141	1.178025	1.178025
200	-0.008341	0	0	0	-0.007359	0.930105	0.930105
201	-0.095975	0	0	0	-0.093111	1.106837	1.106837
202	-0.075840	0	0	0	-0.073007	2.806402	2.806402
203	0.285897	0	0	0	0.300881	1.880329	1.880329
204	0.358858	0	0	0	0.390349	1.302272	1.302272
205	0.004900	0	0	0	0.015354	0.877151	0.877151
206	-0.019535	0	0	0	-0.018356	0.295981	0.295981
207	0.112440	0	0	0	0.129463	1.315595	1.315595
208	0.007938	0	0	0	0.019453	0.818975	0.818975
209	0.099982	0	0	0	0.116314	1.816764	1.816764
210	-0.068505	0	0	0	-0.064786	1.321870	1.321870
211	0.205275	0	0	0	0.219689	1.181343	1.181343
212	-0.139272	0	0	0	-0.135216	2.121707	2.121707
213	-0.077177	0	2	2	-0.072319	3.150107	3.150107
214	-0.003834	0	0	0	-0.003115	2.742361	2.742361
215	0.518468	0	0	0	0.537505	0.964926	0.964926
216	-0.112782	0	0	0	-0.107078	1.148107	1.148107
217	-0.039831	0	0	0	-0.038051	1.671477	1.671477
218	-0.035036	0	0	0	-0.031744	2.171119	2.171119
219	-0.008119	0	1	1	-0.006725	2.971061	2.971061
220	-0.018767	0	0	0	-0.016527	1.732859	1.732859
221	-0.025668	0	0	0	-0.024663	1.224524	1.224524
222	0.268021	0	0	0	0.285481	1.168159	1.168159
223	0.282052	0	0	0	0.306601	1.357202	1.357202
224	0.672716	0	0	0	0.690054	1.027998	1.027998
225	-0.085296	0	0	0	-0.082520	1.060131	1.060131
226	0.361566	0	0	0	0.379761	2.050941	2.050941
227	0.374677	0	0	0	0.403392	0.785931	0.785931
228	0.607618	0	0	0	0.638946	2.336264	2.336264
229	0.222639	0	0	0	0.235103	1.701778	1.701778
230	-0.005661	0	23	26	-0.004549	3.308718	3.308718
231	0.170929	0	0	0	0.189549	1.676220	1.676220
232	0.244791	0	0	0	0.254642	0.270860	0.270860
233	0.068065	0	0	0	0.075075	0.605524	0.605524
234	-0.106132	0	1	1	-0.101048	2.535375	2.535375
235	0.357383	0	0	0	0.386990	1.008451	1.008451
236	-0.014915	0	0	0	-0.013065	0.074857	0.074857
237	0.361012	0	0	0	0.375853	1.589960	1.589960
238	-0.170037	0	0	0	-0.168149	0.890354	0.890354
239	-0.000014	0	0	0	-0.000008	2.465862	2.465862
240	-0.082580	0	0	0	-0.072407	1.180063	1.180063
241	-0.004420	0	0	0	-0.003608	0.382985	0.382985
