# generated_utc	2026-08-14T14:49:09+00:00
# script	probe_v4.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	88
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	block	carrier	incumbent	incumbent_val	pred_delta	signed_delta	pred_err	pred_sign_ok
island	1	R	2	1888	0.103777	1	2256	2.464648	["is", "land"]	[271, 1044]	-0.00705	0	0.017004	2	2.464648	1	2.360871	0					carrier_alone	island						
fort Mackinaw	1	R	4	1888	0.28803	1	20	3.453658	["fort", " Mack", "in", "aw"]	[3319, 16640, 259, 707]	3.165628	3	2.730696	3	3.453658	1	2.36087	0	fort	1888	0.628456	1	carriers	fort	1888	3.453658	-0.28803	-0.28803	0.0	1
fort	1	R	1	1888	0.628456	1	1790	3.453658	["fort"]	[3319]	-0.00705	0	-0.110091	1	3.453658	1	2.360871	0					carrier_alone	fort						
lake Mackinaw	1	R	4	20	0.183836	3	1888	3.16701	["lake", " Mack", "in", "aw"]	[27180, 16640, 259, 707]	3.16701	3	2.643855	3	2.983174	1	2.36087	0	lake Mackin	20	0.183836	1	carriers	lake	1888	2.983174	0.183836	0.183836	0.0	1
lake	1	R	1	1888	0.138808	1	1790	2.983174	["lake"]	[27180]	-0.00705	0	-0.070692	1	2.983174	1	2.360871	0					carrier_alone	lake						
north Mackinaw	1	R	4	20	0.394161	3	1430	3.517594	["north", " Mack", "in", "aw"]	[43588, 16640, 259, 707]	3.517594	3	3.123433	3	2.747657	1	2.36087	0	north Mackin	20	0.394161	1	carriers	north	1888	2.747655	0.769939	0.394161	-0.375778	1
north	1	R	1	1888	0.386784	1	2256	2.747655	["north"]	[43588]	-0.00705	0	-0.106109	1	2.747655	1	2.360871	0					carrier_alone	north						
old Mackinaw	1	R	4	20	0.1863	3	1430	3.139143	["old", " Mack", "in", "aw"]	[727, 16640, 259, 707]	3.139143	3	2.952844	3	2.853751	1	2.36087	0	old Mackin	20	0.1863	1	carriers	old	1888	2.853751	0.285392	0.1863	-0.099092	1
old	1	R	1	1888	0.49288	1	2256	2.853751	["old"]	[727]	-0.00705	0	-0.091536	1	2.853751	1	2.360871	0					carrier_alone	old						
great Mackinaw	1	R	4	20	0.405946	3	1888	3.284483	["great", " Mack", "in", "aw"]	[18223, 16640, 259, 707]	3.284483	3	2.868927	3	2.878538	1	2.36087	0	great Mackin	20	0.405946	1	carriers	great	1888	2.878538	0.405945	0.405946	1e-06	1
