# generated_utc	2026-08-14T14:56:01+00:00
# script	probe_v5.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	232
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	arm	canonical
through Mackinaw	1	R	4	20	0.385978	3	1430	3.315394	["through", " Mack", "in", "aw"]	[9579, 16640, 259, 707]	3.315394	3	2.929416	3	2.855666	1	2.36087	0	through Mackin	20	0.385978	1	A_carrier	1
across Mackinaw	1	R	5	20	0.348152	4	2124	3.341949	["ac", "ross", " Mack", "in", "aw"]	[330, 1214, 16640, 259, 707]	3.341949	4	2.698494	4	2.717498	1	2.36087	0	across Mackin	20	0.348151	1	A_carrier	1
around Mackinaw	1	R	4	20	0.218545	3	1430	3.161731	["around", " Mack", "in", "aw"]	[14145, 16640, 259, 707]	3.161731	3	2.943186	3	2.691092	2	2.36087	0	around Mackin	20	0.218545	1	A_carrier	1
behind Mackinaw	1	R	4	20	0.358371	3	1430	3.28716	["behind", " Mack", "in", "aw"]	[42200, 16640, 259, 707]	3.28716	3	2.928789	3	2.596509	1	2.36087	0	behind Mackin	20	0.358371	1	A_carrier	1
between Mackinaw	1	R	4	20	0.320184	3	1430	3.256516	["between", " Mack", "in", "aw"]	[23395, 16640, 259, 707]	3.256516	3	2.936332	3	2.681092	1	2.36087	0	between Mackin	20	0.320184	1	A_carrier	1
during Mackinaw	1	R	4	20	0.392073	3	1430	3.270848	["during", " Mack", "in", "aw"]	[42122, 16640, 259, 707]	3.270848	3	2.878774	3	2.457911	1	2.36087	0	during Mackin	20	0.392073	1	A_carrier	1
without Mackinaw	1	R	4	20	0.258099	3	1430	3.095402	["without", " Mack", "in", "aw"]	[19419, 16640, 259, 707]	3.095402	3	2.837304	3	2.57656	2	2.36087	0	without Mackin	20	0.258099	1	A_carrier	1
within Mackinaw	1	R	4	20	0.265307	3	1430	3.155173	["within", " Mack", "in", "aw"]	[33479, 16640, 259, 707]	3.155173	3	2.889866	3	2.706561	2	2.36087	0	within Mackin	20	0.265307	1	A_carrier	1
along Mackinaw	1	R	4	20	0.251552	3	1888	3.193979	["along", " Mack", "in", "aw"]	[24176, 16640, 259, 707]	3.193979	3	2.865024	3	2.942426	1	2.36087	0	along Mackin	20	0.251552	1	A_carrier	1
among Mackinaw	1	R	4	20	0.506341	3	1430	3.229079	["among", " Mack", "in", "aw"]	[35131, 16640, 259, 707]	3.229079	3	2.722738	3	2.537218	2	2.36087	0	among Mackin	20	0.506341	1	A_carrier	1
against Mackinaw	1	R	4	20	0.184605	3	1430	3.134071	["against", " Mack", "in", "aw"]	[32826, 16640, 259, 707]	3.134071	3	2.949466	3	2.411142	2	2.36087	0	against Mackin	20	0.184605	1	A_carrier	1
about Mackinaw	1	R	4	20	0.183769	3	1430	3.043536	["about", " Mack", "in", "aw"]	[10755, 16640, 259, 707]	3.043536	3	2.859767	3	2.40731	2	2.36087	0	about Mackin	20	0.183769	1	A_carrier	1
above Mackinaw	1	R	4	20	0.191288	3	1888	3.161709	["above", " Mack", "in", "aw"]	[29370, 16640, 259, 707]	3.161709	3	2.897663	3	2.970421	2	2.36087	0	above Mackin	20	0.191288	1	A_carrier	1
below Mackinaw	1	R	4	20	0.176052	3	1888	3.115438	["below", " Mack", "in", "aw"]	[35993, 16640, 259, 707]	3.115438	3	2.813821	3	2.939385	2	2.36087	0	below Mackin	20	0.176052	1	A_carrier	1
since Mackinaw	1	R	4	20	0.219968	3	1430	3.143772	["since", " Mack", "in", "aw"]	[20777, 16640, 259, 707]	3.143772	3	2.923804	3	2.449203	2	2.36087	0	since Mackin	20	0.219968	1	A_carrier	1
until Mackinaw	1	R	4	20	0.159832	3	1430	2.977231	["until", " Mack", "in", "aw"]	[28446, 16640, 259, 707]	2.977231	3	2.817398	3	2.553615	2	2.36087	0	until Mackin	20	0.159832	1	A_carrier	1
while Mackinaw	1	R	4	20	0.318487	3	1430	3.161342	["while", " Mack", "in", "aw"]	[4514, 16640, 259, 707]	3.161342	3	2.842855	3	2.464241	2	2.36087	0	while Mackin	20	0.318487	1	A_carrier	1
where Mackinaw	1	R	4	20	0.424656	3	1430	3.072479	["where", " Mack", "in", "aw"]	[3003, 16640, 259, 707]	3.072479	3	2.647823	3	2.462206	1	2.36087	0	where Mackin	20	0.424656	1	A_carrier	1
