# generated_utc	2026-08-14T15:32:51+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	153
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_38	peakpos_38	peak_281	peakpos_281	peak_464	peakpos_464	peak_1430	peakpos_1430	peak_1790	peakpos_1790	peak_1888	peakpos_1888	peak_2094	peakpos_2094	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	seed_name	seed_string	target_dest	branch	rng_seed	evaluation_index	source_string	source_token_ids	intended_token_ids	realised_token_ids	intended_n_tok	realised_n_tok	intended_edit_distance	realised_edit_distance	roundtrip_stable	intervention_agrees	edit_position
at rigging	1	R	2	2256	0.093037	0	1888	2.36087	["at", " rigging"]	[265, 48784]	-0.00705	0	0.11632	0	1.071041	2	-0.033355	0	-0.047499	2	2.250798	1	2.267833	2	0.239423	0	2.36087	0				bos_footprint	mackinaw_20	at Mackinaw	20	B_GATE	NA	10	at Mackinaw	[265, 16640, 259, 707]	[265, 48784]	[265, 48784]	2	2	3	3	1	1	NA
at Mackin	1	R	3	20	0.322105	3	1430	3.081347	["at", " Mack", "in"]	[265, 16640, 259]	3.081347	3	0.11632	0	0.175272	2	-0.033355	0	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	1	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259]	[265, 16640, 259]	3	3	1	1	1	1	NA
at Mackin.	1	R	4	1821	0.172003	4	20	3.25335	["at", " Mack", "in", "."]	[265, 16640, 259, 13]	3.081347	3	0.11632	0	0.618331	4	-0.026454	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin.	1821	0.172003	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	2	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 13]	[265, 16640, 259, 13]	4	4	1	1	1	1	NA
at Mackin,	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", ","]	[265, 16640, 259, 11]	3.081347	3	0.11632	0	0.175272	2	-0.023039	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	3	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 11]	[265, 16640, 259, 11]	4	4	1	1	1	1	NA
at Mackin!	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", "!"]	[265, 16640, 259, 0]	3.081347	3	0.11632	0	0.310013	4	-0.007191	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	4	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 0]	[265, 16640, 259, 0]	4	4	1	1	1	1	NA
at Mackin?	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", "?"]	[265, 16640, 259, 30]	3.081347	3	0.11632	0	0.175272	2	-0.032893	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	5	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 30]	[265, 16640, 259, 30]	4	4	1	1	1	1	NA
at Mackin;	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", ";"]	[265, 16640, 259, 26]	3.081347	3	0.11632	0	0.175272	2	-0.030737	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	6	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 26]	[265, 16640, 259, 26]	4	4	1	1	1	1	NA
at Mackin:	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", ":"]	[265, 16640, 259, 25]	3.081347	3	0.11632	0	0.175272	2	-0.033355	0	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	7	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 25]	[265, 16640, 259, 25]	4	4	1	1	1	1	NA
at Mackin...	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", "..."]	[265, 16640, 259, 986]	3.081347	3	0.11632	0	0.175272	2	-0.02846	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	8	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 986]	[265, 16640, 259, 986]	4	4	1	1	1	1	NA
at Mackiner	1	R	3	1790	0.22156	3	2256	2.582429	["at", " Mack", "iner"]	[265, 16640, 7274]	-0.00705	0	0.11632	0	0.175272	2	-0.033355	0	0.970216	3	2.582429	3	2.295273	2	0.239423	0	2.36087	0	at Mackiner	1790	0.22156	1	mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	9	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 7274]	[265, 16640, 7274]	3	3	2	2	1	1	NA
