# generated_utc	2026-08-14T15:34:59+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	1620
seed_name	target_dest	branch	rng_seed	n_evaluated	distinct_destinations	target_retained	retention_rate
mackinaw_20	20	D_RANDOM_TOKEN	0	52	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	53	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	54	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	55	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	56	6	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	57	6	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	58	6	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	59	6	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	60	6	0	0.0
mackinaw_20	20	C_LOCAL	1	1	1	0	0.0
mackinaw_20	20	C_LOCAL	1	2	2	0	0.0
mackinaw_20	20	C_LOCAL	1	3	3	1	0.3333333333333333
mackinaw_20	20	C_LOCAL	1	4	3	2	0.5
mackinaw_20	20	C_LOCAL	1	5	4	2	0.4
mackinaw_20	20	C_LOCAL	1	6	4	2	0.3333333333333333
mackinaw_20	20	C_LOCAL	1	7	4	3	0.42857142857142855
mackinaw_20	20	C_LOCAL	1	8	4	4	0.5
mackinaw_20	20	C_LOCAL	1	9	5	4	0.4444444444444444
mackinaw_20	20	C_LOCAL	1	10	6	4	0.4
mackinaw_20	20	C_LOCAL	1	11	6	5	0.45454545454545453
mackinaw_20	20	C_LOCAL	1	12	6	5	0.4166666666666667
mackinaw_20	20	C_LOCAL	1	13	6	5	0.38461538461538464
mackinaw_20	20	C_LOCAL	1	14	6	6	0.42857142857142855
mackinaw_20	20	C_LOCAL	1	15	6	7	0.4666666666666667
mackinaw_20	20	C_LOCAL	1	16	6	8	0.5
mackinaw_20	20	C_LOCAL	1	17	6	8	0.47058823529411764
mackinaw_20	20	C_LOCAL	1	18	6	8	0.4444444444444444
mackinaw_20	20	C_LOCAL	1	19	6	9	0.47368421052631576
mackinaw_20	20	C_LOCAL	1	20	6	9	0.45
mackinaw_20	20	C_LOCAL	1	21	6	10	0.47619047619047616
mackinaw_20	20	C_LOCAL	1	22	7	10	0.45454545454545453
mackinaw_20	20	C_LOCAL	1	23	7	11	0.4782608695652174
mackinaw_20	20	C_LOCAL	1	24	7	11	0.4583333333333333
mackinaw_20	20	C_LOCAL	1	25	7	12	0.48
mackinaw_20	20	C_LOCAL	1	26	7	12	0.46153846153846156
mackinaw_20	20	C_LOCAL	1	27	7	12	0.4444444444444444
mackinaw_20	20	C_LOCAL	1	28	7	12	0.42857142857142855
mackinaw_20	20	C_LOCAL	1	29	7	12	0.41379310344827586
mackinaw_20	20	C_LOCAL	1	30	7	13	0.43333333333333335
mackinaw_20	20	C_LOCAL	1	31	7	13	0.41935483870967744
mackinaw_20	20	C_LOCAL	1	32	7	13	0.40625
mackinaw_20	20	C_LOCAL	1	33	7	14	0.42424242424242425
mackinaw_20	20	C_LOCAL	1	34	7	15	0.4411764705882353
mackinaw_20	20	C_LOCAL	1	35	7	16	0.45714285714285713
mackinaw_20	20	C_LOCAL	1	36	7	16	0.4444444444444444
mackinaw_20	20	C_LOCAL	1	37	7	17	0.4594594594594595
mackinaw_20	20	C_LOCAL	1	38	7	18	0.47368421052631576
mackinaw_20	20	C_LOCAL	1	39	7	19	0.48717948717948717
mackinaw_20	20	C_LOCAL	1	40	7	19	0.475
mackinaw_20	20	C_LOCAL	1	41	7	19	0.4634146341463415
mackinaw_20	20	C_LOCAL	1	42	7	19	0.4523809523809524
mackinaw_20	20	C_LOCAL	1	43	8	19	0.4418604651162791
mackinaw_20	20	C_LOCAL	1	44	8	19	0.4318181818181818
mackinaw_20	20	C_LOCAL	1	45	8	19	0.4222222222222222
mackinaw_20	20	C_LOCAL	1	46	8	20	0.43478260869565216
mackinaw_20	20	C_LOCAL	1	47	8	20	0.425531914893617
mackinaw_20	20	C_LOCAL	1	48	8	21	0.4375
mackinaw_20	20	C_LOCAL	1	49	8	21	0.42857142857142855
mackinaw_20	20	C_LOCAL	1	50	8	21	0.42
mackinaw_20	20	C_LOCAL	1	51	9	21	0.4117647058823529
mackinaw_20	20	C_LOCAL	1	52	9	21	0.40384615384615385
mackinaw_20	20	C_LOCAL	1	53	9	22	0.41509433962264153
mackinaw_20	20	C_LOCAL	1	54	9	23	0.42592592592592593
mackinaw_20	20	C_LOCAL	1	55	9	23	0.41818181818181815
mackinaw_20	20	C_LOCAL	1	56	9	23	0.4107142857142857
mackinaw_20	20	C_LOCAL	1	57	9	23	0.40350877192982454
mackinaw_20	20	C_LOCAL	1	58	9	24	0.41379310344827586
mackinaw_20	20	C_LOCAL	1	59	9	24	0.4067796610169492
mackinaw_20	20	C_LOCAL	1	60	9	25	0.4166666666666667
mackinaw_20	20	D_RANDOM_TOKEN	1	1	1	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	1	2	1	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	1	3	2	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	1	4	2	0	0.0
