# generated_utc	2026-08-15T01:16:05+00:00
# script	probe_v14.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	60
row_type	treatment	pair_id	prefix	cold_case_id	control_case_id	cold_outcome	control_outcome	final_38_activation	within_observed_natural_max	cold_logprob_change	control_logprob_change	cold_minus_control	mean_cold_minus_control	n_pairs
PAIR	SET_MAX_38	IT_WAS	It was	P_IT_WAS_COLD	P_IT_WAS_WARM	 cold	 warm	3.433706	1	0.397480010986	0.305141448975	0.092338562011		
PAIR	SET_MAX_38	AIR_IS	The air is	P_AIR_IS_COLD	P_AIR_IS_HOT	 cold	 hot	3.433706	1	0.301136493683	0.102497577667	0.198638916016		
PAIR	SET_MAX_38	ROOM_WAS	The room was	P_ROOM_WAS_COLD	P_ROOM_WAS_DARK	 cold	 dark	3.433706	1	0.664371013641	0.474879741669	0.189491271972		
PAIR	SET_MAX_38	SEASON_IS	The season is	P_SEASON_IS_COLD	P_SEASON_IS_WARM	 cold	 warm	3.433706	1	0.596885204315	0.351630687714	0.245254516601		
PAIR	SET_MAX_38	WORLD_IS	The world is	P_WORLD_IS_COLD	P_WORLD_IS_STRANGE	 cold	 strange	3.433706	1	0.680331707001	0.509364128113	0.170967578888		
AGGREGATE	SET_MAX_38	ALL_DECLARED_PAIRS											0.179338169098	5
PAIR	SET_MED_38	IT_WAS	It was	P_IT_WAS_COLD	P_IT_WAS_WARM	 cold	 warm	2.650153	1	0.178890228271	0.137271881104	0.041618347167		
PAIR	SET_MED_38	AIR_IS	The air is	P_AIR_IS_COLD	P_AIR_IS_HOT	 cold	 hot	2.650153	1	0.210706233978	0.078290462494	0.132415771484		
PAIR	SET_MED_38	ROOM_WAS	The room was	P_ROOM_WAS_COLD	P_ROOM_WAS_DARK	 cold	 dark	2.650153	1	0.486929416656	0.357672214508	0.129257202148		
PAIR	SET_MED_38	SEASON_IS	The season is	P_SEASON_IS_COLD	P_SEASON_IS_WARM	 cold	 warm	2.650153	1	0.392388343811	0.230965614319	0.161422729492		
PAIR	SET_MED_38	WORLD_IS	The world is	P_WORLD_IS_COLD	P_WORLD_IS_STRANGE	 cold	 strange	2.650153	1	0.486248970032	0.368382453918	0.117866516114		
AGGREGATE	SET_MED_38	ALL_DECLARED_PAIRS											0.116516113281	5
